2016,10,1,土,23.8,27.9,20.6,曇,曇後一時雨,9.8
2016,10,2,日,27.0,31.0,22.9,曇一時晴,曇、雷を伴う,9.0
2016,10,3,月,24.1,27.3,21.1,雨時々曇,曇,10.0
2016,10,4,火,23.5,28.3,20.7,曇,曇,10.0
2016,10,5,水,24.0,28.4,19.0,曇時々雨,晴一時雨,9.5
2016,10,6,木,23.1,27.5,19.5,晴後一時曇,晴一時曇,7.3
2016,10,7,金,21.8,26.9,16.0,晴後一時曇,曇,4.3
2016,10,8,土,26.1,31.0,22.5,曇後一時晴,曇時々雨,10.0
2016,10,9,日,21.2,26.4,17.5,曇一時雨,曇時々晴,10.0
2016,10,10,月,18.5,23.1,16.0,晴一時曇,曇時々晴,5.5
2016,10,11,火,17.7,21.0,14.7,曇一時晴,曇時々晴,8.5
2016,10,12,水,17.9,25.0,13.7,曇一時晴,晴時々曇,7.0
2016,10,13,木,16.8,21.4,14.3,曇,曇,9.8
2016,10,14,金,16.5,22.1,13.0,曇後晴,快晴,6.5
2016,10,15,土,17.8,25.1,10.7,晴後時々薄曇,薄曇,5.0
2016,10,16,日,21.0,26.6,16.0,晴後曇,雨時々曇,8.5
2016,10,17,月,21.4,25.8,18.7,曇時々晴一時雨,晴,7.5
2016,10,18,火,22.2,28.5,18.1,晴時々曇,晴時々曇,5.5
2016,10,19,水,22.3,27.5,17.5,晴後曇,曇後一時晴,7.0
2016,10,20,木,21.9,26.4,19.1,晴後時々薄曇,薄曇,8.0
2016,10,21,金,17.9,22.0,13.9,曇,晴時々薄曇,10.0
2016,10,22,土,17.0,21.0,12.8,曇,曇,8.8
2016,10,23,日,18.3,21.2,15.3,曇,晴,7.8
2016,10,24,月,16.0,21.0,11.3,快晴,晴後一時曇,0.0
2016,10,25,火,15.7,18.5,10.4,雨時々曇,曇時々雨,8.3
2016,10,26,水,20.2,25.2,16.8,曇一時晴後一時雨,曇一時雨,10.0
2016,10,27,木,17.2,21.8,13.3,晴一時曇,晴後曇,6.5
2016,10,28,金,16.3,18.9,13.0,曇時々雨,曇時々雨,10.0
2016,10,29,土,16.1,19.9,11.1,曇後一時晴,晴一時曇,9.8
2016,10,30,日,13.6,19.8,8.7,晴後一時薄曇,晴時々薄曇,5.3
2016,10,31,月,13.7,18.4,8.6,曇一時晴,雨一時曇,7.3
2016,11,1,火,13.7,18.1,10.4,曇後時々晴,曇後晴,8.0
2016,11,2,水,12.3,18.6,7.5,快晴,晴,0.0
2016,11,3,木,12.4,16.4,8.9,晴,晴時々曇,3.8
2016,11,4,金,12.7,18.4,8.4,晴時々曇,晴,3.3
2016,11,5,土,13.3,20.2,7.6,快晴,晴後曇,0.3
2016,11,6,日,12.2,15.1,9.4,曇時々雨後晴,晴,6.0
2016,11,7,月,12.1,18.1,7.0,快晴,晴後時々曇,0.0
2016,11,8,火,13.2,16.3,10.6,曇時々雨,雨後曇一時晴,9.8
2016,11,9,水,9.2,11.7,6.6,雨時々曇,曇時々雨,9.0
2016,11,10,木,10.0,13.4,6.3,曇,曇時々雨,10.0
2016,11,11,金,13.6,19.5,10.2,曇後晴,晴,6.3
2016,11,12,土,13.4,19.6,8.7,快晴,晴時々曇,1.3
2016,11,13,日,14.9,20.8,9.3,晴後曇,曇,7.5
2016,11,14,月,15.3,17.0,13.2,曇時々雨,雨時々曇,10.0
2016,11,15,火,15.9,21.7,11.8,曇一時雨,曇時々晴,10.0
2016,11,16,水,11.6,15.0,8.4,曇時々晴,薄曇後晴,7.0
2016,11,17,木,10.9,16.5,6.2,晴時々曇,晴,5.5
2016,11,18,金,12.9,19.7,5.8,晴,雨時々曇,3.0
2016,11,19,土,15.8,18.6,13.9,曇一時雨,晴時々曇,8.5
2016,11,20,日,16.7,21.0,13.3,曇,曇一時晴,8.5
2016,11,21,月,15.6,18.1,12.0,曇,曇時々雨,10.0
2016,11,22,火,16.8,20.8,13.4,晴,曇時々晴,5.8
2016,11,23,水,10.8,15.1,8.3,曇後晴,曇一時晴後時々雨,7.8
2016,11,24,木,9.3,13.4,6.1,曇時々晴,晴後一時薄曇,7.5
2016,11,25,金,8.8,13.8,4.5,曇時々晴,晴時々曇,7.0
2016,11,26,土,10.5,16.1,4.8,晴後曇,雨一時曇,5.0
2016,11,27,日,11.9,12.6,11.2,雨,曇時々雨,10.0
2016,11,28,月,10.6,13.2,7.6,曇,晴時々曇一時雨,9.3
2016,11,29,火,9.1,12.5,7.1,曇時々雨一時晴,曇時々雨後時々晴,7.3
2016,11,30,水,9.2,12.3,5.2,曇,曇一時雨,7.5
2016,12,1,木,12.8,16.5,9.9,曇,曇時々晴,9.8
2016,12,2,金,10.4,14.5,6.4,曇時々晴,晴時々曇,5.3
2016,12,3,土,9.9,16.2,5.1,晴時々曇,曇後一時晴,7.8
2016,12,4,日,11.3,16.1,6.5,曇一時晴後時々雨,曇時々雨,8.3
2016,12,5,月,13.2,17.5,9.8,薄曇一時晴,曇,9.3
2016,12,6,火,9.6,13.1,5.5,晴時々曇一時雨,晴,7.5
2016,12,7,水,7.4,13.0,3.1,晴,晴,1.3
2016,12,8,木,8.1,12.9,4.9,晴時々曇,晴,4.5
2016,12,9,金,9.8,16.0,5.6,晴,晴後一時雨,4.0
2016,12,10,土,6.9,10.1,3.8,晴,晴後一時曇,4.3
2016,12,11,日,5.9,10.1,3.3,曇時々晴後一時雨,曇時々晴一時雨,9.3
2016,12,12,月,6.3,10.0,2.6,曇,曇後雨,10.0
2016,12,13,火,8.6,11.2,6.7,雨,雨後時々曇,10.0
2016,12,14,水,8.1,11.9,3.9,曇時々雨,雨時々曇,9.0
2016,12,15,木,4.9,8.5,2.3,晴一時曇,曇時々晴一時雨,7.5
2016,12,16,金,4.0,6.8,1.2,曇時々みぞれ一時雨後晴,晴後時々曇,5.5
2016,12,17,土,6.2,11.8,0.9,晴後時々曇,晴時々曇,6.5
2016,12,18,日,7.4,13.3,3.0,晴後一時薄曇,薄曇,3.8
2016,12,19,月,8.2,14.1,3.6,晴一時薄曇,晴後曇,4.0
2016,12,20,火,9.0,12.2,6.6,曇時々雨一時晴,晴,8.0
2016,12,21,水,9.7,15.9,4.5,晴時々薄曇,晴後曇,3.0
2016,12,22,木,14.6,17.5,9.5,曇時々雨,曇時々雨,10.0
2016,12,23,金,10.2,16.1,6.5,曇時々雨一時晴、あられを伴う,晴時々曇一時雨,6.3
2016,12,24,土,6.8,11.5,4.4,曇一時晴,曇後一時晴,7.5
2016,12,25,日,7.0,11.8,4.0,晴後一時薄曇,曇,6.0
2016,12,26,月,8.6,12.4,3.6,曇一時雨,雨時々曇,10.0
2016,12,27,火,9.4,12.2,4.4,雨時々曇,雨後晴一時雪,10.0
2016,12,28,水,3.8,6.3,1.3,雪後晴一時雨、みぞれを伴う,曇時々晴,7.5
2016,12,29,木,4.7,8.6,1.2,曇時々晴,晴時々雨,7.5
2016,12,30,金,5.0,8.5,2.1,晴一時雨,晴,4.8
2016,12,31,土,5.3,12.3,0.3,晴,晴時々曇,4.3
